# mu	 epsilon	 mse	 qfi	 cfi_det
2.35930497e+00	3.17833239e-02	1.84468894e-01	2.09333953e+01	2.83810179e+01
2.35931447e+00	3.20683239e-02	1.82989162e-01	2.11011867e+01	2.82414256e+01
2.35932802e+00	3.24748239e-02	1.81033206e-01	2.13385303e+01	2.80284595e+01
2.35934522e+00	3.29906739e-02	1.78566672e-01	2.16363769e+01	2.78112499e+01
2.35936569e+00	3.36049389e-02	1.75812268e-01	2.19861857e+01	2.75994796e+01
2.35938912e+00	3.43077774e-02	1.72696414e-01	2.23799804e+01	2.72302745e+01
2.35941521e+00	3.50903320e-02	1.69392819e-01	2.28103805e+01	2.68816788e+01
2.35944368e+00	3.59446312e-02	1.65884183e-01	2.32706114e+01	2.65992976e+01
2.35947431e+00	3.68635005e-02	1.62260847e-01	2.37545016e+01	2.62095522e+01
2.35950688e+00	3.78404828e-02	1.58609353e-01	2.42564672e+01	2.59387969e+01
2.35954119e+00	3.88697669e-02	1.54914546e-01	2.47714890e+01	2.54942426e+01
2.35957706e+00	3.99461226e-02	1.51239532e-01	2.52950841e+01	2.52234775e+01
2.35961436e+00	4.10648427e-02	1.47529789e-01	2.58232726e+01	2.48323875e+01
2.35965292e+00	4.22216908e-02	1.43972929e-01	2.63525434e+01	2.44973594e+01
2.35969262e+00	4.34128541e-02	1.40377317e-01	2.68798177e+01	2.41579584e+01
2.35973336e+00	4.46349011e-02	1.36941278e-01	2.74024133e+01	2.39042307e+01
2.35977502e+00	4.58847434e-02	1.33610911e-01	2.79180094e+01	2.36786458e+01
2.35981751e+00	4.71596014e-02	1.30312632e-01	2.84246127e+01	2.33818180e+01
2.35986076e+00	4.84569737e-02	1.27230317e-01	2.89205249e+01	2.31810632e+01
2.35990468e+00	4.97746087e-02	1.24204228e-01	2.94043125e+01	2.29561988e+01
2.35994921e+00	5.11104802e-02	1.21316046e-01	2.98747786e+01	2.26312906e+01
2.35999429e+00	5.24627646e-02	1.18646198e-01	3.03309370e+01	2.23888663e+01
2.36003985e+00	5.38298205e-02	1.16036681e-01	3.07719878e+01	2.22351048e+01
2.36008587e+00	5.52101708e-02	1.13411133e-01	3.11972956e+01	2.19959176e+01
2.36013228e+00	5.66024861e-02	1.11117955e-01	3.16063703e+01	2.18209012e+01
2.36017905e+00	5.80055699e-02	1.08836842e-01	3.19988482e+01	2.16901324e+01
2.36022614e+00	5.94183453e-02	1.06549303e-01	3.23744767e+01	2.13986994e+01
2.36027352e+00	6.08398432e-02	1.04390127e-01	3.27330990e+01	2.13100452e+01
2.36032117e+00	6.22691912e-02	1.02324564e-01	3.30746420e+01	2.10798254e+01
2.36036905e+00	6.37056045e-02	1.00217076e-01	3.33991042e+01	2.07834875e+01
2.36041714e+00	6.51483764e-02	9.81458821e-02	3.37065453e+01	2.07208595e+01
2.36046542e+00	6.65968712e-02	9.61704312e-02	3.39970777e+01	2.04559953e+01
2.36051388e+00	6.80505164e-02	9.41841783e-02	3.42708580e+01	2.03094122e+01
2.36056249e+00	6.95087972e-02	9.22409475e-02	3.45280800e+01	2.01020321e+01
2.36061124e+00	7.09712498e-02	9.04253259e-02	3.47689688e+01	1.98381965e+01
2.36066011e+00	7.24374573e-02	8.85644695e-02	3.49937748e+01	1.96472464e+01
2.36070910e+00	7.39070439e-02	8.69267229e-02	3.52027694e+01	1.95215536e+01
2.36075818e+00	7.53796719e-02	8.51434550e-02	3.53962408e+01	1.93640016e+01
2.36080736e+00	7.68550371e-02	8.36180589e-02	3.55744901e+01	1.91215676e+01
2.36085662e+00	7.83328658e-02	8.20663177e-02	3.57378289e+01	1.89413879e+01
2.36090596e+00	7.98129116e-02	8.05995864e-02	3.58865756e+01	1.87465079e+01
2.36095536e+00	8.12949528e-02	7.92132988e-02	3.60210542e+01	1.84833538e+01
2.36100482e+00	8.27787899e-02	7.78472803e-02	3.61415917e+01	1.81968800e+01
2.36105434e+00	8.42642433e-02	7.65903398e-02	3.62485166e+01	1.80953201e+01
2.36110390e+00	8.57511514e-02	7.54000410e-02	3.63421575e+01	1.78749043e+01
2.36115351e+00	8.72393686e-02	7.42967168e-02	3.64228423e+01	1.77092967e+01
2.36120315e+00	8.87287641e-02	7.30819278e-02	3.64908967e+01	1.74857143e+01
2.36125283e+00	9.02192201e-02	7.20830981e-02	3.65466436e+01	1.73301143e+01
2.36130255e+00	9.17106305e-02	7.10198779e-02	3.65904028e+01	1.71562269e+01
2.36135229e+00	9.32028998e-02	6.98938416e-02	3.66224901e+01	1.69077305e+01
2.36140206e+00	9.46959422e-02	6.88054646e-02	3.66432170e+01	1.67141529e+01
2.36145185e+00	9.61896804e-02	6.80245181e-02	3.66528906e+01	1.66475502e+01
2.36150166e+00	9.76840447e-02	6.71065570e-02	3.66518131e+01	1.64799995e+01
2.36155149e+00	9.88789726e-02	6.62598555e-02	3.66434199e+01	1.63297367e+01
2.36160134e+00	9.98044078e-02	6.57249082e-02	3.66324282e+01	1.62494290e+01
2.36165120e+00	1.00335348e-01	6.54339513e-02	3.66243828e+01	1.62629315e+01
2.36170108e+00	1.00335348e-01	6.55353177e-02	3.66243828e+01	1.64119729e+01
2.36175097e+00	1.00335348e-01	6.55586434e-02	3.66243828e+01	1.65065244e+01
2.36180087e+00	1.00335348e-01	6.55070418e-02	3.66243828e+01	1.64293930e+01
2.36185078e+00	1.00267543e-01	6.58787283e-02	3.66254802e+01	1.65576161e+01
2.36190070e+00	1.00056519e-01	6.60494998e-02	3.66287648e+01	1.67339755e+01
2.36195063e+00	9.97165967e-02	6.63721693e-02	3.66336372e+01	1.69793495e+01
2.36200056e+00	9.92606670e-02	6.66352298e-02	3.66393565e+01	1.70253821e+01
2.36205050e+00	9.87003302e-02	6.70624064e-02	3.66450932e+01	1.72184937e+01
2.36210045e+00	9.80460272e-02	6.76556167e-02	3.66499686e+01	1.74748556e+01
2.36215040e+00	9.73071544e-02	6.82066241e-02	3.66530821e+01	1.76171116e+01
2.36220036e+00	9.64921689e-02	6.88168360e-02	3.66535307e+01	1.78105968e+01
2.36225032e+00	9.59086820e-02	6.94307173e-02	3.66519011e+01	1.81799245e+01
2.36230028e+00	9.55335437e-02	6.96645228e-02	3.66499837e+01	1.83415779e+01
2.36235025e+00	9.53459193e-02	6.99608109e-02	3.66487674e+01	1.85608509e+01
2.36240023e+00	9.53270574e-02	6.99497385e-02	3.66486356e+01	1.86660511e+01
2.36245020e+00	9.54600816e-02	6.99645332e-02	3.66495280e+01	1.87471986e+01
2.36250018e+00	9.57298034e-02	6.97563514e-02	3.66510722e+01	1.87675835e+01
2.36255016e+00	9.61225530e-02	6.95620516e-02	3.66526889e+01	1.88739978e+01
2.36260014e+00	9.66260277e-02	6.91952055e-02	3.66536740e+01	1.88951290e+01
