# Step	Epsilon	Squeezing(dB)	QFI_Total
0	0.100185	10.0065	1.854594e+02
1	0.099900	10.0187	1.855811e+02
2	0.099494	10.0363	1.858118e+02
3	0.098978	10.0588	1.861393e+02
4	0.098364	10.0856	1.865526e+02
5	0.097661	10.1166	1.870411e+02
6	0.096878	10.1513	1.875951e+02
7	0.096024	10.1895	1.882056e+02
8	0.095105	10.2310	1.888644e+02
9	0.094128	10.2756	1.895635e+02
10	0.093099	10.3231	1.902959e+02
11	0.092023	10.3733	1.910548e+02
12	0.090904	10.4261	1.918341e+02
13	0.089747	10.4814	1.926280e+02
14	0.088556	10.5392	1.934309e+02
15	0.087334	10.5992	1.942378e+02
16	0.086084	10.6615	1.950438e+02
17	0.084809	10.7260	1.958443e+02
18	0.083512	10.7926	1.966350e+02
19	0.082194	10.8614	1.974115e+02
20	0.080858	10.9322	1.981697e+02
21	0.079506	11.0051	1.989057e+02
22	0.078139	11.0802	1.996154e+02
23	0.076759	11.1573	2.002951e+02
24	0.075366	11.2364	2.009406e+02
25	0.073963	11.3178	2.015481e+02
26	0.072550	11.4012	2.021136e+02
27	0.071129	11.4869	2.026328e+02
28	0.069699	11.5747	2.031015e+02
29	0.068263	11.6649	2.035153e+02
30	0.066820	11.7574	2.038695e+02
31	0.065372	11.8523	2.041592e+02
32	0.063918	11.9497	2.043793e+02
33	0.062460	12.0496	2.045240e+02
34	0.060997	12.1523	2.045876e+02
35	0.059831	12.2359	2.045638e+02
36	0.058932	12.3015	2.044778e+02
37	0.058272	12.3503	2.043686e+02
38	0.057828	12.3834	2.042637e+02
39	0.057579	12.4022	2.041811e+02
40	0.057505	12.4078	2.041302e+02
41	0.057588	12.4015	2.041144e+02
42	0.057812	12.3846	2.041321e+02
43	0.058165	12.3583	2.041779e+02
44	0.058632	12.3236	2.042447e+02
45	0.059202	12.2817	2.043236e+02
46	0.059866	12.2334	2.044055e+02
47	0.060612	12.1797	2.044812e+02
48	0.061435	12.1213	2.045421e+02
49	0.062325	12.0590	2.045805e+02
50	0.062976	12.0140	2.045892e+02
51	0.063412	11.9841	2.045748e+02
52	0.063654	11.9676	2.045556e+02
53	0.063722	11.9630	2.045417e+02
54	0.063634	11.9690	2.045374e+02
55	0.063404	11.9847	2.045430e+02
56	0.063047	12.0091	2.045561e+02
57	0.062576	12.0416	2.045722e+02
58	0.062002	12.0815	2.045857e+02
59	0.061635	12.1072	2.045899e+02
60	0.061455	12.1199	2.045854e+02
61	0.061443	12.1207	2.045810e+02
62	0.061582	12.1109	2.045807e+02
63	0.061858	12.0916	2.045842e+02
64	0.062255	12.0638	2.045888e+02
65	0.062463	12.0494	2.045897e+02
66	0.062501	12.0468	2.045876e+02
67	0.062384	12.0549	2.045870e+02
68	0.062129	12.0726	2.045886e+02
69	0.061750	12.0992	2.045901e+02
70	0.061558	12.1126	2.045874e+02
71	0.061536	12.1142	2.045837e+02
72	0.061666	12.1050	2.045831e+02
73	0.061933	12.0863	2.045860e+02
74	0.062323	12.0591	2.045895e+02
75	0.062524	12.0452	2.045892e+02
76	0.062555	12.0430	2.045866e+02
77	0.062433	12.0515	2.045861e+02
78	0.062174	12.0695	2.045880e+02
79	0.061790	12.0964	2.045901e+02
80	0.061594	12.1101	2.045880e+02
81	0.061568	12.1119	2.045845e+02
82	0.061695	12.1030	2.045839e+02
83	0.061959	12.0845	2.045865e+02
84	0.062347	12.0575	2.045896e+02
85	0.062546	12.0437	2.045890e+02
86	0.062575	12.0417	2.045863e+02
87	0.062451	12.0503	2.045857e+02
88	0.062189	12.0684	2.045878e+02
89	0.061804	12.0954	2.045900e+02
90	0.061607	12.1092	2.045881e+02
91	0.061580	12.1111	2.045848e+02
92	0.061705	12.1023	2.045842e+02
93	0.061968	12.0839	2.045867e+02
94	0.062355	12.0569	2.045897e+02
95	0.062553	12.0432	2.045889e+02
96	0.062581	12.0412	2.045861e+02
97	0.062457	12.0499	2.045856e+02
98	0.062195	12.0681	2.045877e+02
99	0.061809	12.0950	2.045900e+02
