# Step	Epsilon	Squeezing(dB)	QFI_Total
0	0.032521	14.8799	1.727370e+02
1	0.032806	14.8421	1.731576e+02
2	0.033212	14.7886	1.739456e+02
3	0.033728	14.7217	1.750447e+02
4	0.034342	14.6434	1.763982e+02
5	0.035045	14.5555	1.779512e+02
6	0.035828	14.4597	1.796518e+02
7	0.036682	14.3574	1.814527e+02
8	0.037601	14.2501	1.833114e+02
9	0.038578	14.1388	1.851907e+02
10	0.039607	14.0245	1.870585e+02
11	0.040683	13.9082	1.888879e+02
12	0.041802	13.7905	1.906566e+02
13	0.042959	13.6721	1.923470e+02
14	0.044150	13.5535	1.939450e+02
15	0.045372	13.4351	1.954403e+02
16	0.046622	13.3172	1.968253e+02
17	0.047897	13.2002	1.980953e+02
18	0.049194	13.0844	1.992475e+02
19	0.050512	12.9697	2.002810e+02
20	0.051848	12.8566	2.011960e+02
21	0.053200	12.7450	2.019944e+02
22	0.054567	12.6350	2.026784e+02
23	0.055948	12.5267	2.032513e+02
24	0.057340	12.4202	2.037167e+02
25	0.058743	12.3154	2.040784e+02
26	0.060156	12.2125	2.043408e+02
27	0.061577	12.1113	2.045079e+02
28	0.063007	12.0119	2.045841e+02
29	0.064143	11.9345	2.045737e+02
30	0.065016	11.8759	2.045068e+02
31	0.065651	11.8338	2.044219e+02
32	0.066073	11.8061	2.043425e+02
33	0.066303	11.7910	2.042819e+02
34	0.066360	11.7873	2.042462e+02
35	0.066261	11.7938	2.042371e+02
36	0.066022	11.8094	2.042529e+02
37	0.065657	11.8334	2.042896e+02
38	0.065178	11.8651	2.043418e+02
39	0.064597	11.9039	2.044030e+02
40	0.063925	11.9492	2.044662e+02
41	0.063169	12.0007	2.045235e+02
42	0.062339	12.0580	2.045672e+02
43	0.061443	12.1208	2.045891e+02
44	0.060785	12.1674	2.045807e+02
45	0.060344	12.1989	2.045527e+02
46	0.060097	12.2167	2.045231e+02
47	0.060024	12.2220	2.045028e+02
48	0.060109	12.2159	2.044962e+02
49	0.060335	12.1996	2.045038e+02
50	0.060688	12.1743	2.045224e+02
51	0.061157	12.1410	2.045469e+02
52	0.061728	12.1007	2.045708e+02
53	0.062392	12.0543	2.045870e+02
54	0.062840	12.0233	2.045885e+02
55	0.063093	12.0059	2.045792e+02
56	0.063171	12.0006	2.045704e+02
57	0.063091	12.0061	2.045672e+02
58	0.062869	12.0214	2.045705e+02
59	0.062519	12.0455	2.045784e+02
60	0.062054	12.0779	2.045867e+02
61	0.061786	12.0966	2.045901e+02
62	0.061694	12.1031	2.045879e+02
63	0.061762	12.0983	2.045865e+02
64	0.061973	12.0835	2.045876e+02
65	0.062313	12.0599	2.045897e+02
66	0.062468	12.0490	2.045893e+02
67	0.062459	12.0497	2.045875e+02
68	0.062300	12.0607	2.045877e+02
69	0.062007	12.0812	2.045894e+02
70	0.061893	12.0891	2.045899e+02
71	0.061941	12.0858	2.045891e+02
72	0.062134	12.0723	2.045895e+02
73	0.062158	12.0706	2.045901e+02
74	0.062029	12.0796	2.045901e+02
75	0.062063	12.0772	2.045900e+02
76	0.062244	12.0646	2.045901e+02
77	0.062257	12.0638	2.045898e+02
78	0.062118	12.0734	2.045897e+02
79	0.061843	12.0926	2.045901e+02
80	0.061746	12.0994	2.045886e+02
81	0.061808	12.0950	2.045873e+02
82	0.062015	12.0806	2.045882e+02
83	0.062350	12.0572	2.045899e+02
84	0.062502	12.0467	2.045890e+02
85	0.062489	12.0476	2.045870e+02
86	0.062327	12.0588	2.045872e+02
87	0.062032	12.0794	2.045892e+02
88	0.061916	12.0875	2.045900e+02
89	0.061961	12.0844	2.045893e+02
90	0.062152	12.0710	2.045897e+02
91	0.062174	12.0695	2.045901e+02
92	0.062044	12.0786	2.045901e+02
93	0.062076	12.0763	2.045900e+02
94	0.062256	12.0638	2.045901e+02
95	0.062267	12.0630	2.045897e+02
96	0.062128	12.0727	2.045896e+02
97	0.061852	12.0920	2.045901e+02
98	0.061754	12.0989	2.045887e+02
99	0.061815	12.0946	2.045874e+02
100	0.062021	12.0802	2.045883e+02
101	0.062356	12.0568	2.045900e+02
102	0.062507	12.0463	2.045889e+02
103	0.062494	12.0473	2.045869e+02
104	0.062331	12.0585	2.045871e+02
105	0.062035	12.0792	2.045891e+02
106	0.061919	12.0873	2.045900e+02
107	0.061964	12.0842	2.045894e+02
108	0.062155	12.0708	2.045897e+02
109	0.062176	12.0693	2.045901e+02
110	0.062046	12.0784	2.045901e+02
111	0.062078	12.0762	2.045900e+02
112	0.062257	12.0637	2.045901e+02
113	0.062269	12.0629	2.045897e+02
114	0.062129	12.0726	2.045896e+02
