# mu	 epsilon	 mse	 qfi	 cfi_det
2.35930497e+00	3.17833239e-02	1.46334945e-01	1.71050787e+02	3.04701123e+03
2.35931447e+00	3.20683239e-02	1.44940405e-01	1.71876880e+02	3.00069283e+03
2.35932802e+00	3.24748239e-02	1.43101177e-01	1.73029471e+02	2.93421044e+03
2.35934522e+00	3.29906739e-02	1.40770444e-01	1.74449427e+02	2.85905410e+03
2.35936569e+00	3.36049389e-02	1.38135808e-01	1.76079435e+02	2.78338833e+03
2.35938912e+00	3.43077774e-02	1.35181697e-01	1.77865584e+02	2.69761908e+03
2.35941521e+00	3.50903320e-02	1.32053705e-01	1.79758435e+02	2.58931147e+03
2.35944368e+00	3.59446312e-02	1.28728195e-01	1.81713662e+02	2.49134320e+03
2.35947431e+00	3.68635005e-02	1.25308534e-01	1.83692349e+02	2.38797125e+03
2.35950688e+00	3.78404828e-02	1.21835496e-01	1.85661026e+02	2.30284538e+03
2.35954119e+00	3.88697669e-02	1.18355362e-01	1.87591496e+02	2.19827239e+03
2.35957706e+00	3.99461226e-02	1.14896322e-01	1.89460523e+02	2.10444365e+03
2.35961436e+00	4.10648427e-02	1.11396924e-01	1.91249428e+02	2.00658706e+03
2.35965292e+00	4.22216908e-02	1.08056203e-01	1.92943627e+02	1.92155832e+03
2.35969262e+00	4.34128541e-02	1.04677686e-01	1.94532152e+02	1.83880076e+03
2.35973336e+00	4.46349011e-02	1.01487747e-01	1.96007166e+02	1.75524388e+03
2.35977502e+00	4.58847434e-02	9.83410659e-02	1.97363504e+02	1.67589545e+03
2.35981751e+00	4.71596014e-02	9.52740508e-02	1.98598244e+02	1.60984312e+03
2.35986076e+00	4.84569737e-02	9.24020313e-02	1.99710312e+02	1.54144810e+03
2.35990468e+00	4.97746087e-02	8.95899598e-02	2.00700132e+02	1.47503878e+03
2.35994921e+00	5.11104802e-02	8.69222570e-02	2.01569319e+02	1.40829462e+03
2.35999429e+00	5.24627646e-02	8.44270825e-02	2.02320413e+02	1.35450795e+03
2.36003985e+00	5.38298205e-02	8.20087653e-02	2.02956651e+02	1.30084762e+03
2.36008587e+00	5.52101708e-02	7.96103644e-02	2.03481777e+02	1.24423848e+03
2.36013228e+00	5.66024861e-02	7.74832253e-02	2.03899883e+02	1.19260646e+03
2.36017905e+00	5.80055699e-02	7.53897083e-02	2.04215284e+02	1.15432152e+03
2.36022614e+00	5.94183453e-02	7.33178016e-02	2.04432406e+02	1.10273217e+03
2.36027352e+00	6.08398432e-02	7.13474030e-02	2.04555711e+02	1.06489619e+03
2.36032117e+00	6.22691912e-02	6.94687758e-02	2.04589628e+02	1.02080216e+03
2.36036905e+00	6.34056045e-02	6.79882734e-02	2.04555969e+02	9.86319448e+02
